# sizeof probe, x86_64, limit 65507 B (tt_MAX_BUFFER_LENGTH)
example_interfaces/msg/WString	-	NOT_GENERATED	UnsupportedFieldError: field 'data': wstring is out of scope
tf2_msgs/srv/FrameGraph_Response	8	CREATE_OK	max_wire_size 2
trajectory_msgs/msg/JointTrajectory	53752	CREATE_OK	max_wire_size 53648
trajectory_msgs/msg/JointTrajectoryPoint	536	CREATE_OK	max_wire_size 536
trajectory_msgs/msg/MultiDOFJointTrajectory	40248	CREATE_OK	max_wire_size 40216
trajectory_msgs/msg/MultiDOFJointTrajectoryPoint	628	CREATE_OK	max_wire_size 628
type_description_interfaces/msg/Field	292	CREATE_OK	max_wire_size 286
type_description_interfaces/msg/FieldType	276	CREATE_OK	max_wire_size 280
type_description_interfaces/msg/IndividualTypeDescription	3764	CREATE_OK	max_wire_size 3720
type_description_interfaces/msg/KeyValue	16	CREATE_OK	max_wire_size 4
type_description_interfaces/msg/TypeDescription	18824	CREATE_OK	max_wire_size 18602
type_description_interfaces/msg/TypeSource	24	CREATE_OK	max_wire_size 6
type_description_interfaces/srv/GetTypeDescription_Request	20	CREATE_OK	max_wire_size 5
type_description_interfaces/srv/GetTypeDescription_Response	19068	CREATE_OK	max_wire_size 18666
unique_identifier_msgs/msg/UUID	16	CREATE_OK	max_wire_size 16
visualization_msgs/msg/ImageMarker	1076	CREATE_OK	max_wire_size 1064
visualization_msgs/msg/InteractiveMarker	56876	CREATE_OK	max_wire_size 56748
visualization_msgs/msg/InteractiveMarkerControl	56664	CREATE_OK	max_wire_size 56600
visualization_msgs/msg/InteractiveMarkerFeedback	132	CREATE_OK	max_wire_size 105
visualization_msgs/msg/InteractiveMarkerInit	56896	CREATE_OK	max_wire_size 56764
visualization_msgs/msg/InteractiveMarkerPose	80	CREATE_OK	max_wire_size 70
visualization_msgs/msg/InteractiveMarkerUpdate	57256	CREATE_OK	max_wire_size 57066
visualization_msgs/msg/Marker	56604	CREATE_OK	max_wire_size 56549
visualization_msgs/msg/MarkerArray	56608	CREATE_OK	max_wire_size 56556
visualization_msgs/msg/MenuEntry	28	CREATE_OK	max_wire_size 13
visualization_msgs/msg/MeshFile	8012	CREATE_OK	max_wire_size 8004
visualization_msgs/msg/UVCoordinate	8	CREATE_OK	max_wire_size 8
visualization_msgs/srv/GetInteractiveMarkers_Request	1	CREATE_OK	max_wire_size 0
visualization_msgs/srv/GetInteractiveMarkers_Response	56888	CREATE_OK	max_wire_size 56760
