statistics_msgs/msg/StatisticDataType	OK	max 0 B
std_msgs/msg/Bool	OK	max 1 B
std_msgs/msg/Byte	OK	max 1 B
std_msgs/msg/ByteMultiArray	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
std_msgs/msg/Char	OK	max 1 B
std_msgs/msg/ColorRGBA	OK	max 16 B
std_msgs/msg/Empty	OK	max 0 B
std_msgs/msg/Float32	OK	max 4 B
std_msgs/msg/Float32MultiArray	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
std_msgs/msg/Float64	OK	max 8 B
std_msgs/msg/Float64MultiArray	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
std_msgs/msg/Header	OK_STRINGS	fixed part 10 B, strings bounded at runtime
std_msgs/msg/Int16	OK	max 2 B
std_msgs/msg/Int16MultiArray	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
std_msgs/msg/Int32	OK	max 4 B
std_msgs/msg/Int32MultiArray	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
std_msgs/msg/Int64	OK	max 8 B
std_msgs/msg/Int64MultiArray	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
std_msgs/msg/Int8	OK	max 1 B
std_msgs/msg/Int8MultiArray	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
std_msgs/msg/MultiArrayDimension	OK_STRINGS	fixed part 12 B, strings bounded at runtime
std_msgs/msg/MultiArrayLayout	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
std_msgs/msg/String	OK_STRINGS	fixed part 2 B, strings bounded at runtime
std_msgs/msg/UInt16	OK	max 2 B
std_msgs/msg/UInt16MultiArray	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
std_msgs/msg/UInt32	OK	max 4 B
std_msgs/msg/UInt32MultiArray	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
std_msgs/msg/UInt64	OK	max 8 B
std_msgs/msg/UInt64MultiArray	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
std_msgs/msg/UInt8	OK	max 1 B
std_msgs/msg/UInt8MultiArray	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
std_srvs/srv/Empty_Request	OK	max 0 B
std_srvs/srv/Empty_Response	OK	max 0 B
std_srvs/srv/SetBool_Request	OK	max 1 B
std_srvs/srv/SetBool_Response	OK_STRINGS	fixed part 4 B, strings bounded at runtime
std_srvs/srv/Trigger_Request	OK	max 0 B
std_srvs/srv/Trigger_Response	OK_STRINGS	fixed part 4 B, strings bounded at runtime
stereo_msgs/msg/DisparityImage	NEEDS_CAP	field 'data': its capacity can't be auto-derived because a preceding field ('header') isn't fixed-size (a string, or a nested type containing one) - add an explicit '# @capacity <N>' annotation instead
test_msgs/msg/Builtins	OK	max 16 B
test_msgs/action/NestedMessage	ACTION	actions are not generated by rosidl_typesupport_tickle_c
tf2_msgs/msg/TF2Error	OK_STRINGS	fixed part 4 B, strings bounded at runtime
tf2_msgs/msg/TFMessage	NEEDS_CAP	field 'transforms': its capacity can't be auto-derived - its own nested type ('TransformStampedData') isn't fixed-size, so there's no fixed per-element wire size to divide the remaining budget by - add an explicit '# @capacity <N>' annotation instead
tf2_msgs/srv/FrameGraph_Request	OK	max 0 B
tf2_msgs/srv/FrameGraph_Response	OK_STRINGS	fixed part 2 B, strings bounded at runtime
tf2_msgs/action/LookupTransform	ACTION	actions are not generated by rosidl_typesupport_tickle_c
trajectory_msgs/msg/JointTrajectory	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
trajectory_msgs/msg/JointTrajectoryPoint	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
trajectory_msgs/msg/MultiDOFJointTrajectory	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
