Attaching 17 probes...
# pong_rx_split v2 tgid 2986739 irq 108
S irq2napi=6445 enq=15574 rd=16926 wk_rx=0 sw_rx=0 wait=0 rx=29463 rxtid=2986750 wk_ex=41148 sw_ex=0 send=85018
S irq2napi=6629 enq=15315 rd=16426 wk_rx=0 sw_rx=0 wait=0 rx=28408 rxtid=2986750 wk_ex=38704 sw_ex=45870 send=76667















